date,entity,year,period,value,forecast,ci_inf,ci_sup
2017-01-01,00000,2017.0,1.0,1190,,,
2017-01-29,00000,2017.0,2.0,1188,,,
2017-02-26,00000,2017.0,3.0,1209,,,
2017-03-26,00000,2017.0,4.0,1184,,,
2017-04-23,00000,2017.0,5.0,1151,,,
2017-05-21,00000,2017.0,6.0,1190,,,
2017-06-18,00000,2017.0,7.0,1105,,,
2017-07-16,00000,2017.0,8.0,1101,,,
2017-08-13,00000,2017.0,9.0,1151,,,
2017-09-10,00000,2017.0,10.0,1172,,,
2017-10-08,00000,2017.0,11.0,1158,,,
2017-11-05,00000,2017.0,12.0,1119,,,
2017-12-03,00000,2017.0,13.0,982,,,
2017-12-31,00000,2018.0,1.0,1143,,,
2018-01-28,00000,2018.0,2.0,1191,,,
2018-02-25,00000,2018.0,3.0,1290,,,
2018-03-25,00000,2018.0,4.0,1112,,,
2018-04-22,00000,2018.0,5.0,1178,,,
2018-05-20,00000,2018.0,6.0,1129,,,
2018-06-17,00000,2018.0,7.0,1085,,,
2018-07-15,00000,2018.0,8.0,1130,,,
2018-08-12,00000,2018.0,9.0,1156,,,
2018-09-09,00000,2018.0,10.0,1183,,,
2018-10-07,00000,2018.0,11.0,1111,,,
2018-11-04,00000,2018.0,12.0,1128,,,
2018-12-02,00000,2018.0,13.0,991,,,
2018-12-30,00000,2019.0,1.0,1128,,,
2019-01-27,00000,2019.0,2.0,1215,,,
2019-02-24,00000,2019.0,3.0,1223,,,
2019-03-24,00000,2019.0,4.0,1054,,,
2019-04-21,00000,2019.0,5.0,1176,,,
2019-05-19,00000,2019.0,6.0,1184,,,
2019-06-16,00000,2019.0,7.0,1099,,,
2019-07-14,00000,2019.0,8.0,1221,,,
2019-08-11,00000,2019.0,9.0,1209,,,
2019-09-08,00000,2019.0,10.0,1208,,,
2019-10-06,00000,2019.0,11.0,1158,,,
2019-11-03,00000,2019.0,12.0,1116,,,
2019-12-01,00000,2019.0,13.0,797,,,
2019-12-29,00000,2020.0,1.0,1101,,,
2020-01-26,00000,2020.0,2.0,1201,,,
2020-02-23,00000,2020.0,3.0,1118,,,
2020-03-22,00000,2020.0,4.0,600,,,
2020-04-19,00000,2020.0,1.0,,648,578.888209203431,716.7550256551585
2020-05-17,00000,2020.0,2.0,,494,365.60908231389806,621.6557178302777
2020-06-14,00000,2020.0,3.0,,163,0.0,353.0014618321555
2020-07-12,00000,2020.0,4.0,,252,0.0,524.7479629659862
2020-08-09,00000,2020.0,5.0,,132,0.0,485.21080903789937
2020-09-06,00000,2020.0,6.0,,25,0.0,472.88252801499135
2020-10-04,00000,2020.0,7.0,,0,0.0,273.6922232578604
2020-11-01,00000,2020.0,8.0,,0,0.0,204.49651693903684
2020-11-29,00000,2020.0,9.0,,0,0.0,0.0
2020-12-27,00000,2020.0,10.0,,0,0.0,136.1015888736083
2021-01-24,00000,2020.0,11.0,,0,0.0,374.508379407898
2021-02-21,00000,2020.0,12.0,,0,0.0,243.26659958387927
2021-03-21,00000,2020.0,13.0,,0,0.0,0.0
